"year","area","gear","catch_shares","n_obs","n_trips","n_hauls","n_vessels","nonconfidential","strata","ob_discard_mt","ob_retained_mt","ob_ratio","ratio_type"
"2014","CA","Trawl","TRUE",65937,439,2838,24,TRUE,"CA.Trawl.TRUE",2.13211920529801,251.772700742603,0.00839731678089256,"DIS/(DIS + RET)"
"2014","OR_WA","FixedGears","TRUE",4892,71,783,10,TRUE,"OR_WA.FixedGears.TRUE",0.158622879433911,1.34875714105542,0.105230849074421,"DIS/(DIS + RET)"
"2014","OR_WA","Trawl","TRUE",198699,1623,7335,62,TRUE,"OR_WA.Trawl.TRUE",7.07961081375306,419.610596801909,0.0165919224003612,"DIS/(DIS + RET)"
"2015","CA","FixedGears","TRUE",2117,30,346,8,TRUE,"CA.FixedGears.TRUE",0.153968973963531,2.27658078563005,0.0633473860618581,"DIS/(DIS + RET)"
"2015","CA","Trawl","TRUE",60299,328,2208,19,TRUE,"CA.Trawl.TRUE",2.29879796788533,224.754477326197,0.0101244871491411,"DIS/(DIS + RET)"
"2015","OR_WA","FixedGears","TRUE",4496,66,595,11,TRUE,"OR_WA.FixedGears.TRUE",0.220348362514742,3.03375138160605,0.067714077576401,"DIS/(DIS + RET)"
"2015","OR_WA","Trawl","TRUE",170403,585,5318,43,TRUE,"OR_WA.Trawl.TRUE",3.91211104055157,446.119780227843,0.0086929640242283,"DIS/(DIS + RET)"
"2016","CA","FixedGears","TRUE",2308,21,284,7,TRUE,"CA.FixedGears.TRUE",0.250566996280504,5.56539893858296,0.0430826107110592,"DIS/(DIS + RET)"
"2016","CA","Trawl","TRUE",37541,217,1391,17,TRUE,"CA.Trawl.TRUE",1.16521818016874,125.758114623968,0.00918048836589296,"DIS/(DIS + RET)"
"2016","OR_WA","FixedGears","TRUE",7042,89,867,14,TRUE,"OR_WA.FixedGears.TRUE",0.295659076476458,3.61136575078677,0.0756737132596006,"DIS/(DIS + RET)"
"2016","OR_WA","Trawl","TRUE",171731,614,5391,40,TRUE,"OR_WA.Trawl.TRUE",7.11275514832623,527.879358700569,0.0132950654116281,"DIS/(DIS + RET)"
"2017","CA","FixedGears","TRUE",803,15,195,7,TRUE,"CA.FixedGears.TRUE",0.0445568357071578,0.118048625601016,0.27401807632225,"DIS/(DIS + RET)"
"2017","CA","Trawl","TRUE",28498,190,1108,19,TRUE,"CA.Trawl.TRUE",0.420702168193777,186.15073496716,0.00225491197716704,"DIS/(DIS + RET)"
"2017","OR_WA","FixedGears","TRUE",6120,63,793,11,TRUE,"OR_WA.FixedGears.TRUE",0.142506577156854,5.55725912592357,0.0250021815949095,"DIS/(DIS + RET)"
"2017","OR_WA","Trawl","TRUE",173267,674,5434,42,TRUE,"OR_WA.Trawl.TRUE",3.81883788442348,561.881044772208,0.00675064287885214,"DIS/(DIS + RET)"
"2018","CA","Trawl","TRUE",29111,183,1096,19,TRUE,"CA.Trawl.TRUE",1.56142610904472,61.2489975505761,0.024859346873798,"DIS/(DIS + RET)"
"2018","OR_WA","FixedGears","TRUE",5596,51,666,13,TRUE,"OR_WA.FixedGears.TRUE",0.168425111131271,3.2120302345429,0.0498232024708735,"DIS/(DIS + RET)"
"2018","OR_WA","Trawl","TRUE",142752,566,4578,38,TRUE,"OR_WA.Trawl.TRUE",5.44331397986029,481.933582407707,0.0111685925619496,"DIS/(DIS + RET)"
"2019","CA","Trawl","TRUE",32356,193,1213,15,TRUE,"CA.Trawl.TRUE",3.84089630772022,65.1968520366506,0.0556347273749608,"DIS/(DIS + RET)"
"2019","OR_WA","FixedGears","TRUE",6141,59,781,13,TRUE,"OR_WA.FixedGears.TRUE",0.235507575070308,6.90855639607774,0.0329654907936752,"DIS/(DIS + RET)"
"2019","OR_WA","Trawl","TRUE",133508,505,4080,39,TRUE,"OR_WA.Trawl.TRUE",11.8303819286945,377.606919712907,0.0303781427172635,"DIS/(DIS + RET)"
"2020","CA","FixedGears","TRUE",141,7,29,3,TRUE,"CA.FixedGears.TRUE",0.00045359702440352,0.00412773292207203,0.099009900990099,"DIS/(DIS + RET)"
"2020","CA","Trawl","TRUE",21690,148,829,13,TRUE,"CA.Trawl.TRUE",4.12487072484805,30.3558928603828,0.119628172231512,"DIS/(DIS + RET)"
"2020","OR_WA","Trawl","TRUE",97100,384,2836,35,TRUE,"OR_WA.Trawl.TRUE",12.3852263449152,199.203401028378,0.0585344614153796,"DIS/(DIS + RET)"
"2021","CA","Trawl","TRUE",30437,211,1104,15,TRUE,"CA.Trawl.TRUE",4.00366506395718,41.6749750521637,0.0876485169825407,"DIS/(DIS + RET)"
"2021","OR_WA","FixedGears","TRUE",1186,14,194,4,TRUE,"OR_WA.FixedGears.TRUE",0.00353805679034746,0.0467204935135625,0.0703971119133574,"DIS/(DIS + RET)"
"2021","OR_WA","Trawl","TRUE",102753,377,2880,29,TRUE,"OR_WA.Trawl.TRUE",33.6910006350358,196.592198302165,0.146302469266217,"DIS/(DIS + RET)"
