Model,Label,Value,Phase,Min,Max,Init,Gradient,Pr_type,Prior,Pr_SD,Pr_Like,LCI95,UCI95
23.sq.floatQ,Main_RecrDev_1996,-0.260131,6,-5,5,0,3.46065e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1997,0.0241137,6,-5,5,0,1.087e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1998,0.0767127,6,-5,5,0,5.33743e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_1999,-0.063948,6,-5,5,0,1.29612e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_2000,-0.190099,6,-5,5,0,3.62736e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_2001,-0.289356,6,-5,5,0,2.81693e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_2002,-0.362244,6,-5,5,0,2.26043e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_2003,-0.277739,6,-5,5,0,2.44629e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_2004,-0.120163,6,-5,5,0,6.54384e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_2005,0.0945043,6,-5,5,0,4.63418e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_2006,0.137046,6,-5,5,0,-1.21397e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_2007,0.0827748,6,-5,5,0,1.97733e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_2008,0.0329426,6,-5,5,0,5.46799e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_2009,0.0341041,6,-5,5,0,5.66052e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_2010,-0.00142255,6,-5,5,0,1.41153e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_2011,-0.034661,6,-5,5,0,3.61534e-6,dev,NA,NA,NA,NA,NA
23.sq.floatQ,Main_RecrDev_2012,0.001629,6,-5,5,0,-8.88706e-7,dev,NA,NA,NA,NA,NA
23.sq.floatQ,ForeRecr_2013,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.sq.floatQ,ForeRecr_2014,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.sq.floatQ,ForeRecr_2015,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.sq.floatQ,ForeRecr_2016,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.sq.floatQ,ForeRecr_2017,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.sq.floatQ,ForeRecr_2018,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.sq.floatQ,ForeRecr_2019,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.sq.floatQ,ForeRecr_2020,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.sq.floatQ,ForeRecr_2021,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.sq.floatQ,ForeRecr_2022,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.sq.floatQ,ForeRecr_2023,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.sq.floatQ,ForeRecr_2024,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.sq.floatQ,LnQ_base_Triennial1(5),-1.84174,-1,-5,5,-2,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,Q_extraSD_Triennial1(5),0.12196,4,0.01,0.5,0,-1.51844e-8,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,LnQ_base_Triennial2(6),-1.80447,-1,-5,5,-2,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,LnQ_base_AFSCslope(7),0.538794,-1,-5,5,0,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,LnQ_base_NWFSCslope(8),-0.903262,-1,-5,5,-1,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,LnQ_base_NWFSCcombo(9),-0.526438,-1,-5,5,-5,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,Size_DblN_peak_Trawl_N(1),23.7854,1,10,60,30,-1.40517e-5,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,Size_DblN_top_logit_Trawl_N(1),-7,3,-7,7,0,-1.86239e-6,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,Size_DblN_ascend_se_Trawl_N(1),3.79681,3,-5,10,3,7.10004e-6,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,Size_DblN_descend_se_Trawl_N(1),6.80383,4,-5,10,5,-1.45649e-5,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,Size_DblN_start_logit_Trawl_N(1),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,Size_DblN_end_logit_Trawl_N(1),-999,-99,-999,15,-999,NA,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,Retain_L_infl_Trawl_N(1),27.9974,3,5,70,23,3.62579e-5,No_prior,NA,NA,NA,NA,NA
23.sq.floatQ,Retain_L_width_Trawl_N(1),3.30363,3,0.1,40,2,4.16484e-5,No_prior,NA,NA,NA,NA,NA
