"Year","Total Biomass (mt)","Spawning Output","Total Biomass 1+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","(1-SPR)/(1-SPR_50%)","Exploitation Rate"
1935,"217,129","22,158","217,117","100.1","12,412",7.97537229,"0.007",3.67330623120253e-05
1936,"217,122","22,159","217,111","100.1","12,426",4.84752013,"0.004",2.23273815237367e-05
1937,"217,118","22,160","217,106","100.1","12,444",7.91801866,"0.006",3.64707500483635e-05
1938,"217,108","22,160","217,097","100.1","12,462",8,"0.007",3.68498873775317e-05
1939,"217,098","22,161","217,086","100.1","12,479",7.0938535,"0.006",3.26776185474881e-05
1940,"217,086","22,162","217,075","100.1","12,490",3.29684,"0.002",1.51875619025682e-05
1941,"217,078","22,162","217,066","100.1","12,489",5.871096,"0.004",2.70475155021975e-05
1942,"217,065","22,163","217,054","100.1","12,470",6.740186,"0.005",3.10530374929741e-05
1943,"217,050","22,163","217,039","100.1","12,427",18.23867,"0.013",8.40340676099687e-05
1944,"217,021","22,162","217,010","100.1","12,352",9.586043,"0.008",4.41732777291369e-05
1945,"217,000","22,162","216,988","100.1","12,241",9.047207,"0.008",4.16945038435305e-05
1946,"216,976","22,162","216,965","100.1","12,089",7.321033,"0.006",3.37429216693937e-05
1947,"216,952","22,162","216,941","100.1","11,896",7.235574,"0.006",3.33527272392033e-05
1948,"216,924","22,161","216,913","100.1","11,663",19.0294272,"0.016",8.77283851129255e-05
1949,"216,879","22,160","216,868","100.1","11,397",18.3717714,"0.015",8.47140721544903e-05
1950,"216,829","22,158","216,819","100.1","11,104",10.20475777,"0.008",4.70657911437651e-05
1951,"216,781","22,157","216,771","100.1","10,784",15.53669,"0.013",7.16732865558585e-05
1952,"216,719","22,155","216,710","100.0","10,459",18.703844,"0.016",8.63081722117115e-05
1953,"216,645","22,153","216,635","100.0","10,138",7.122076,"0.006",3.28759249428763e-05
1954,"216,571","22,151","216,562","100.0","9,832",149.500549,"0.123",0.000690336019246221
1955,"216,331","22,138","216,322","100.0","9,548",89.346911,"0.075",0.000413027389724577
1956,"216,140","22,129","216,132","99.9","9,294",184.483778,"0.151",0.00085356993874114
1957,"215,830","22,111","215,821","99.8","9,077",85.17459,"0.071",0.000394653856668257
1958,"215,608","22,101","215,599","99.8","8,903",47.665858,"0.041",0.000221085710045037
1959,"215,407","22,094","215,399","99.8","8,778",74.690121,"0.064",0.000346752403678754
1960,"215,157","22,084","215,149","99.7","8,708",209.371533,"0.176",0.000973146670446992
1961,"214,739","22,063","214,731","99.6","8,701",101.870754,"0.087",0.000474411025888204
1962,"214,414","22,049","214,406","99.6","8,767",157.669205,"0.134",0.00073537683180508
1963,"214,006","22,030","213,998","99.5","8,915",260.505555,"0.219",0.00121732705445845
1964,"213,462","22,002","213,454","99.4","9,156",228.074873,"0.193",0.0010684965987988
1965,"212,930","21,975","212,921","99.2","9,495",385.255099,"0.316",0.00180938046975169
1966,"212,202","21,933","212,193","99.0","9,931",1419.319544,"0.926",0.00668881416446348
1967,"210,327","21,803","210,318","98.5","10,445",1455.702373,"0.956",0.00692143503171388
1968,"208,376","21,666","208,366","97.8","11,011",2307.779709,"1.294",0.0110756059481873
1969,"205,459","21,453","205,448","96.9","11,587",758.09198,"0.594",0.0036899457770336
1970,"204,203","21,364","204,192","96.5","12,153",896.518214,"0.688",0.00439056483113932
1971,"202,782","21,261","202,770","96.0","12,698",1120.4252582,"0.821",0.00552559677565715
1972,"201,106","21,136","201,093","95.4","13,226",2028.475367,"1.236",0.0100872500136753
1973,"198,423","20,929","198,410","94.5","13,702",3467.325062,"1.613",0.0174755559800413
1974,"194,148","20,594","194,134","93.0","14,028",1548.2129,"1.082",0.00797497038128303
1975,"191,947","20,414","191,934","92.2","14,103",2583.436902,"1.455",0.0134600274156741
1976,"188,609","20,141","188,596","91.0","13,860",2155.087703,"1.349",0.011427006421133
1977,"185,727","19,899","185,714","89.9","13,406",1789.9254,"1.231",0.00963807467396104
1978,"183,244","19,683","183,232","88.9","12,934",1354.92058,"1.046",0.00739456306758645
1979,"181,244","19,500","181,232","88.1","12,626",2009.79893,"1.339",0.0110896471373709
1980,"178,530","19,257","178,518","87.0","12,572",1580.53914,"1.181",0.0088536682015259
1981,"176,296","19,047","176,284","86.0","12,729",1979.58167,"1.355",0.011229502790951
1982,"173,634","18,800","173,622","84.9","12,882",2245.37581,"1.454",0.0129325535358422
1983,"170,693","18,526","170,681","83.7","12,838",2225.98902,"1.461",0.0130418091058759
1984,"167,788","18,250","167,776","82.4","12,602",3438.62414,"1.733",0.0204953279372497
1985,"163,566","17,865","163,554","80.7","12,301",3989.88303,"1.815",0.0243948972816318
1986,"158,728","17,429","158,717","78.7","12,030",3487.18506,"1.777",0.0219710872811356
1987,"154,430","17,031","154,419","76.9","11,888",2401.1156,"1.593",0.0155493533826796
1988,"151,336","16,722","151,325","75.5","11,967",3476.6276,"1.799",0.0229745752519412
1989,"147,071","16,320","147,059","73.7","12,126",5491.2903,"1.940",0.0373407292311249
1990,"140,583","15,741","140,572","71.1","12,179",4667.2208,"1.918",0.0332016390177276
1991,"134,998","15,223","134,987","68.7","11,560",4030.9283,"1.893",0.0298616037099869
1992,"130,121","14,754","130,111","66.6","10,746",3842.9419,"1.895",0.0295358724473719
1993,"125,437","14,300","125,428","64.6","9,979",4201.6884,"1.927",0.0334988072838601
1994,"120,357","13,814","120,349","62.4","8,733",3849.8042,"1.919",0.0319886679573574
1995,"115,663","13,355","115,656","60.3","8,004",2281.712,"1.761",0.0197284360517396
1996,"112,686","13,030","112,678","58.8","8,224",1903.526,"1.679",0.0168935018370933
1997,"110,145","12,739","110,137","57.5","8,321",1666.518,"1.620",0.015131318267249
1998,"107,895","12,471","107,886","56.3","8,645",1475.5777,"1.558",0.013677193519085
1999,"105,886","12,223","105,877","55.2","10,113",895.6909,"1.218",0.00845973063082634
2000,"104,557","12,025","104,545","54.3","12,605",1018.9538,"1.320",0.00974655698503037
2001,"103,147","11,822","103,132","53.4","16,120",663.047,"1.012",0.00642911026645464
2002,"102,195","11,651","102,178","52.6","18,032",942.43,"1.263",0.00922341404216172
2003,"101,026","11,462","100,997","51.8","31,062",960.593,"1.178",0.00951110429022644
2004,"99,935","11,267","99,916","50.9","20,287",879.278,"1.121",0.00880018975977773
2005,"99,074","11,085","99,055","50.1","20,927",775.068,"1.040",0.00782462268436727
2006,"98,399","10,918","98,380","49.3","21,018",826.541,"1.086",0.00840154869505466
2007,"97,763","10,752","97,741","48.6","23,488",1103.221,"1.293",0.0112872222114227
2008,"96,940","10,569","96,916","47.7","25,728",1569.391,"1.533",0.0161932950252848
2009,"95,731","10,354","95,714","46.8","17,944",1673.89,"1.576",0.0174883821034244
2010,"94,518","10,135","94,505","45.8","13,805",1488.112,"1.507",0.0157464171132048
2011,"93,568","9,937","93,557","44.9","12,001",1083.822,"1.284",0.0115846044821825
2012,"93,118","9,774","93,108","44.1","10,431",989.975,"1.218",0.0106325564210985
2013,"92,847","9,626","92,838","43.5","9,622",1111.268,"1.293",0.011969904727026
2014,"92,527","9,476","92,518","42.8","9,650",928.117,"1.163",0.0100317234879191
2015,"92,475","9,348","92,466","42.2","9,783",929.063,"1.155",0.0100476501016052
2016,"92,496","9,228","92,487","41.7","10,155",992.09,"1.192",0.0107268280446507
2017,"92,522","9,112","92,513","41.1","9,995",1094.534,"1.250",0.0118311628228742
2018,"92,505","8,997","92,496","40.6","9,990",948.282,"1.139",0.0102521738848401
2019,"92,697","8,902","92,687","40.2","10,354",785.619,"0.996",0.00847604302653015
2020,"93,109","8,829","93,099","39.9","10,839",477.3619,"0.678",0.00512747640141441
2021,"93,892","8,787","93,882","39.7","11,299",499.9311,"0.685",0.00532511200253936
2022,"94,704","8,754","94,694","39.5","10,952",724.1363,"0.880",0.00764713529291252
2023,"95,328","8,717","95,318","39.4","10,942",756.11,"0.895",0.00793250795495914
2024,"95,952","8,687","95,942","39.2","10,933",756.11,"0.878",0.00788088257212929
2025,"96,605","8,666","96,595","39.1","10,928",710.8372,"0.821",0.00735892880805671
2026,"97,328","8,659","97,318","39.1","10,926",713.4724,"0.809",0.00733135836264449
2027,"98,069","8,660","98,059","39.1","10,926",716.192,"0.797",0.0073037143096067
2028,"98,824","8,670","98,813","39.1","10,929",718.0399,"0.786",0.00726662476951506
2029,"99,590","8,688","99,580","39.2","10,934",720.051,"0.776",0.00723086517199202
2030,"100,366","8,712","100,356","39.3","10,940",721.2542,"0.765",0.00718695643509108
2031,"101,149","8,744","101,138","39.5","10,949",721.6726,"0.755",0.00713552373984061
2032,"101,937","8,782","101,927","39.7","10,959",721.318,"0.745",0.00707680987373316
2033,"102,729","8,826","102,719","39.9","10,970",720.2014,"0.735",0.00701137472132712
2034,"103,525","8,874","103,514","40.1","10,983",719.0103,"0.725",0.00694601986204764
