Model,Label,Value,Phase,Min,Max,Init,Gradient,Pr_type,Prior,Pr_SD,Pr_Like,LCI95,UCI95
23.model.recdevs_bias,Main_RecrDev_2001,0.180092,6,-5,5,0,-2.50918e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_2002,0.470643,6,-5,5,0,-2.77457e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_2003,1.04043,6,-5,5,0,-3.18088e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_2004,0.831453,6,-5,5,0,-1.64206e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_2005,0.561208,6,-5,5,0,5.06087e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_2006,0.737848,6,-5,5,0,1.44425e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_2007,1.18631,6,-5,5,0,3.02298e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_2008,1.26045,6,-5,5,0,2.6012e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_2009,0.6628,6,-5,5,0,1.28875e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_2010,0.347355,6,-5,5,0,2.82883e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_2011,0.0865158,6,-5,5,0,3.10154e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_2012,0.317513,6,-5,5,0,-8.48795e-7,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_2013,-0.818485,6,-5,5,0,5.74769e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_2014,-0.630184,6,-5,5,0,7.43321e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_2015,-0.396793,6,-5,5,0,1.33685e-5,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_2016,0.194241,6,-5,5,0,7.92153e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_2017,-0.826629,6,-5,5,0,3.68963e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Main_RecrDev_2018,-0.916415,6,-5,5,0,4.81552e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Late_RecrDev_2019,-0.581115,5,-5,5,0,1.99092e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Late_RecrDev_2020,0.0724196,5,-5,5,0,3.23793e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Late_RecrDev_2021,1.19542,5,-5,5,0,1.3471e-6,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,Late_RecrDev_2022,0.0713688,5,-5,5,0,-4.0664e-7,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,ForeRecr_2023,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,ForeRecr_2024,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,ForeRecr_2025,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,ForeRecr_2026,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,ForeRecr_2027,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,ForeRecr_2028,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,ForeRecr_2029,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,ForeRecr_2030,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,ForeRecr_2031,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,ForeRecr_2032,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,ForeRecr_2033,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,ForeRecr_2034,0,5,-5,5,0,0,dev,NA,NA,NA,NA,NA
23.model.recdevs_bias,LnQ_base_Triennial1(5),-3.15965,-1,-5,5,-2,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,Q_extraSD_Triennial1(5),0.0527006,4,0.01,0.5,0,-6.04667e-8,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,LnQ_base_Triennial2(6),-2.85695,-1,-5,5,-2,NA,No_prior,NA,NA,NA,NA,NA
23.model.recdevs_bias,LnQ_base_AFSCslope(7),-0.865517,-1,-5,5,0,NA,No_prior,NA,NA,NA,NA,NA
