id,sex,r1,r2,age,length_cm,sex2
1233_413_108,Male,61,57,59,44.6,Male
1233_414_109,Female,41,49,45,45.5,Female
1233_415_110,Male,42,38,40,41,Male
1233_416_111,Male,39,35,37,41.9,Male
1233_417_112,Male,40,39,39.5,40,Male
1233_418_113,Female,60,71,65.5,62.7,Female
1233_419_114,Female,82,77,79.5,59.9,Female
1233_420_115,Male,50,42,46,44.4,Male
1233_421_116,Male,52,51,51.5,53.8,Male
1233_422_117,Female,35,37,36,39.2,Female
1234_401_118,Female,30,43,36.5,52.2,Female
1234_402_119,Female,49,47,48,41.8,Female
1234_403_120,Male,50,56,53,52.8,Male
1234_404_121,Female,65,63,64,57.2,Female
1234_405_122,Male,35,49,42,41.8,Male
1234_406_123,Male,43,57,50,48.9,Male
1234_407_124,Female,40,45,42.5,45.1,Female
1234_408_125,Male,33,34,33.5,38.2,Male
1234_409_126,Male,35,37,36,43,Male
1234_410_127,Female,43,52,47.5,52.5,Female
1234_411_128,Female,31,31,31,45.5,Female
1234_412_129,Male,34,34,34,40.2,Male
1234_413_130,Male,30,36,33,45.7,Male
1234_414_131,Male,51,53,52,45.1,Male
1234_415_132,Male,64,69,66.5,54.5,Male
1234_416_133,Male,27,25,26,45.6,Male
1234_417_134,Male,48,39,43.5,37.8,Male
1235_401_135,Female,43,44,43.5,58.2,Female
1235_402_136,Female,58,67,62.5,59.5,Female
1235_403_137,Female,71,75,73,52,Female
1235_405_139,Male,24,25,24.5,39.6,Male
1235_406_140,Female,64,56,60,52,Female
1235_407_141,Female,46,45,45.5,54.8,Female
1235_408_142,Female,57,64,60.5,48.4,Female
1235_409_143,Male,51,57,54,48.6,Male
1235_410_144,Male,50,46,48,49.5,Male
1235_411_145,Female,59,61,60,60.3,Female
1235_412_146,Female,67,67,67,54.1,Female
1235_413_147,Female,55,53,54,56.8,Female
1235_414_148,Female,46,45,45.5,49.7,Female
1235_415_149,Female,48,47,47.5,56.5,Female
1235_416_150,Male,38,34,36,43.5,Male
1235_417_151,Male,56,48,52,47.3,Male
1235_418_152,Female,45,48,46.5,44,Female
1235_420_154,Female,40,34,37,39.1,Female
1235_421_155,Female,24,26,25,36.3,Female
1235_422_156,Male,32,32,32,36.6,Male
1236_402_157,Male,102,97,99.5,67.3,Male
1236_404_158,Female,49,61,55,57,Female
1236_405_159,Female,59,49,54,59,Female
1236_408_160,Female,21,26,23.5,33.3,Female
1236_409_161,Male,54,48,51,50.5,Male
1236_410_162,Female,48,54,51,51.6,Female
1236_411_163,Female,56,53,54.5,56.3,Female
1236_412_164,Female,51,52,51.5,52.5,Female
1236_415_165,Female,36,35,35.5,35.8,Female
1236_416_166,Male,45,51,48,50.7,Male
1236_417_167,Female,59,60,59.5,61.8,Female
1236_418_168,Male,45,46,45.5,52,Male
1236_419_169,Male,36,49,42.5,49.9,Male
1236_421_170,Female,69,63,66,61.8,Female
1236_422_171,Male,87,89,88,58.3,Male
1236_423_172,Female,80,74,77,61,Female
1236_424_173,Male,49,51,50,44.1,Male
1236_425_174,Male,54,47,50.5,56.1,Male
1236_426_175,Female,55,51,53,55.7,Female
1236_427_176,Female,50,69,59.5,49.2,Female
1236_428_177,Male,48,46,47,52.7,Male
1236_429_178,Female,68,61,64.5,64.2,Female
1236_430_179,Female,57,53,55,55.9,Female
1236_432_180,Female,35,42,38.5,45.1,Female
1236_433_181,Female,67,58,62.5,55.8,Female
1236_435_183,Female,52,56,54,60.3,Female
1236_438_185,Female,58,57,57.5,56,Female
1236_440_187,Female,59,67,63,60.3,Female
1236_441_188,Male,62,61,61.5,53,Male
1236_442_189,Male,53,53,53,54.2,Male
1236_443_190,Male,47,49,48,51.8,Male
1236_444_191,Male,41,41,41,47.6,Male
1237_403_194,Male,56,48,52,42.9,Male
1237_404_195,Male,36,39,37.5,44.1,Male
1237_405_196,Female,43,48,45.5,48.5,Female
1237_406_197,Male,46,41,43.5,42,Male
1237_407_198,Male,38,41,39.5,44.3,Male
1237_408_199,Male,43,43,43,41,Male
1237_409_200,Male,41,37,39,39.7,Male
1237_410_201,Male,39,45,42,43.5,Male
1237_411_202,Female,31,30,30.5,39.3,Female
1237_412_203,Male,39,42,40.5,43.3,Male
1237_414_205,Male,57,50,53.5,46.5,Male
1237_415_206,Male,47,43,45,40,Male
1237_416_207,Male,41,37,39,43,Male
1237_418_208,Male,31,36,33.5,41.2,Male
1237_421_210,Male,50,55,52.5,47.3,Male
1237_422_211,Male,65,58,61.5,47.4,Male
1237_423_212,Male,52,46,49,45.4,Male
1237_424_213,Male,36,35,35.5,44,Male
1237_425_214,Male,44,48,46,46.5,Male
1237_426_215,Male,32,27,29.5,36.5,Male
1237_427_216,Male,39,36,37.5,45.1,Male
1237_428_217,Male,60,57,58.5,48.1,Male
1237_429_218,Male,52,63,57.5,50.5,Male
1237_433_219,Male,39,37,38,40.9,Male
1237_434_220,Female,39,39,39,40.3,Female
1237_436_221,Male,45,51,48,42.2,Male
1237_437_222,Male,62,69,65.5,48.6,Male
1237_439_224,Male,43,37,40,49.7,Male
1237_440_225,Female,38,48,43,44.2,Female
1237_442_226,Male,32,36,34,38.5,Male
1243_401_227,Male,13,12,12.5,22.1,Male
1243_403_229,Male,20,23,21.5,27.1,Male
1243_404_230,Male,12,13,12.5,20.8,Male
1243_405_231,Male,19,15,17,24.8,Male
1243_406_232,Male,11,16,13.5,22.5,Male
1243_409_235,Female,11,12,11.5,23.3,Female
1243_410_236,Female,13,10,11.5,20.7,Female
1243_411_237,Female,17,13,15,23.5,Female
1243_413_239,Male,29,27,28,38.8,Male
1243_415_241,Female,25,19,22,25.4,Female
1243_416_242,Male,39,34,36.5,44,Male
1243_418_244,Male,21,21,21,26.8,Male
1243_420_246,Male,16,14,15,23.8,Male
1243_421_247,Female,18,15,16.5,23.8,Female
1243_422_248,Male,12,13,12.5,22,Male
1243_423_249,Male,15,16,15.5,27,Male
1243_424_250,Male,13,13,13,22.4,Male
1243_425_251,Female,21,16,18.5,26.9,Female
1243_426_252,Female,20,16,18,23,Female
1243_427_253,Male,13,11,12,20.8,Male
1243_428_254,Male,17,23,20,27.7,Male
1243_430_256,Female,19,17,18,26.4,Female
1243_432_257,Male,8,8,8,18.2,Male
1243_433_258,Female,18,18,18,25.4,Female
1243_434_259,Male,22,17,19.5,22.5,Male
1243_435_260,Male,11,10,10.5,17.7,Male
1244_401_261,Male,29,30,29.5,46.4,Male
1244_402_262,Male,46,42,44,39.9,Male
1244_403_263,Female,59,67,63,63.8,Female
1244_404_264,Male,61,68,64.5,60.2,Male
1244_405_265,Female,45,56,50.5,60.9,Female
1244_408_266,Female,30,32,31,41.9,Female
1244_409_267,Female,62,65,63.5,57.5,Female
1244_410_268,Female,65,61,63,67,Female
1244_411_269,Female,68,76,72,67.5,Female
1244_412_270,Male,28,37,32.5,40.5,Male
1244_413_271,Male,46,47,46.5,48.1,Male
1244_415_273,Female,41,39,40,42,Female
1244_416_274,Female,33,29,31,47.7,Female
1244_417_275,Male,29,33,31,35.7,Male
1244_418_276,Male,57,57,57,58.4,Male
1244_419_277,Female,33,30,31.5,34,Female
1244_420_278,Male,51,55,53,45.7,Male
1244_421_279,Male,39,36,37.5,39.1,Male
1244_423_281,Male,36,29,32.5,36,Male
1244_424_282,Male,29,29,29,42.1,Male
1244_426_283,Male,47,43,45,36.8,Male
1244_427_284,Male,31,24,27.5,30.8,Male
1244_428_285,Male,44,41,42.5,42.6,Male
1244_429_286,Female,28,25,26.5,34.4,Female
1244_431_288,Male,32,25,28.5,32.1,Male
1244_432_289,Female,35,27,31,33.1,Female
1244_434_290,Female,28,23,25.5,33.1,Female
1244_437_291,Male,31,31,31,40.4,Male
1244_439_292,Male,24,23,23.5,33.2,Male
1244_440_293,Female,77,95,86,65.2,Female
1244_441_294,Female,79,83,81,68.2,Female
1244_443_296,Male,73,79,76,64.2,Male
1244_445_298,Female,80,89,84.5,62.8,Female
1244_449_300,Female,79,99,89,69.9,Female
1244_450_301,Female,32,33,32.5,34.5,Female
1244_451_302,Male,32,29,30.5,34.3,Male
1244_452_303,Male,31,28,29.5,27.1,Male
1244_453_304,Male,26,31,28.5,32.8,Male
1245_401_305,Male,42,41,41.5,46,Male
1245_402_306,Male,39,43,41,44.9,Male
1245_403_307,Male,36,37,36.5,37.9,Male
1245_404_308,Female,66,76,71,65.8,Female
1245_411_309,Male,47,39,43,46.9,Male
1245_412_310,Male,28,30,29,38.4,Male
1245_414_311,Male,44,42,43,46.6,Male
1245_415_312,Male,45,36,40.5,45.6,Male
1245_416_313,Male,34,36,35,49.7,Male
1245_417_314,Male,55,57,56,46.5,Male
1245_419_315,Female,42,34,38,38.4,Female
1245_420_316,Male,32,29,30.5,47.9,Male
1245_421_317,Female,60,52,56,55.4,Female
1245_423_318,Male,79,78,78.5,59.5,Male
1245_424_319,Male,57,51,54,55.4,Male
1245_425_320,Female,39,41,40,38,Female
1245_426_321,Female,34,35,34.5,50.5,Female
1245_427_322,Female,73,73,73,58.2,Female
1245_428_323,Female,61,61,61,63.1,Female
1245_430_324,Female,38,35,36.5,37,Female
1245_431_325,Male,40,48,44,48.1,Male
1245_436_326,Female,70,53,61.5,48.2,Female
1245_439_327,Female,23,26,24.5,31.6,Female
1245_444_328,Male,32,37,34.5,37.6,Male
1245_451_329,Female,44,42,43,48.4,Female
1245_452_330,Male,37,38,37.5,34.4,Male
1245_453_331,Female,41,55,48,42.8,Female
1245_457_332,Male,59,75,67,53.2,Male
1245_460_333,Female,53,53,53,45.8,Female
1245_464_334,Female,45,53,49,40.2,Female
1245_470_335,Male,73,59,66,59.7,Male
1245_472_336,Female,72,81,76.5,70.4,Female
1246_401_337,Male,62,69,65.5,47.5,Male
1246_402_338,Male,47,41,44,38.8,Male
1246_403_339,Male,55,42,48.5,43.8,Male
1246_404_340,Male,65,65,65,41.5,Male
1246_405_341,Male,55,57,56,43,Male
1246_406_342,Female,51,48,49.5,47.2,Female
1246_407_343,Male,67,62,64.5,52.2,Male
1246_408_344,Male,47,44,45.5,45.1,Male
1246_409_345,Female,34,27,30.5,28.4,Female
1246_410_346,Male,36,39,37.5,41.5,Male
1246_411_347,Male,47,48,47.5,40.8,Male
1246_412_348,Male,49,52,50.5,50.8,Male
1246_413_349,Female,72,64,68,61.5,Female
1246_416_350,Male,45,39,42,39,Male
1246_418_352,Male,40,47,43.5,47,Male
1246_419_353,Male,40,49,44.5,46,Male
1246_420_354,Female,52,51,51.5,40.2,Female
1246_424_355,Female,41,52,46.5,51,Female
1246_425_356,Female,33,30,31.5,45.2,Female
1246_426_357,Female,50,42,46,41.4,Female
1246_427_358,Female,72,67,69.5,52.5,Female
1246_428_359,Male,60,52,56,42.1,Male
1246_429_360,Male,39,35,37,46.4,Male
1246_430_361,Male,41,34,37.5,39,Male
1246_431_362,Male,39,36,37.5,38.7,Male
1246_432_363,Female,23,27,25,39,Female
1246_433_364,Male,18,19,18.5,24.9,Male
1246_434_365,Female,52,51,51.5,66,Female
1247_401_366,Male,60,62,61,55.3,Male
1247_403_368,Male,36,43,39.5,52,Male
1247_405_369,Female,28,34,31,45.3,Female
1247_407_370,Female,49,56,52.5,42.8,Female
1247_409_371,Female,61,63,62,52.8,Female
1247_410_372,Female,36,39,37.5,44,Female
1247_411_373,Male,44,59,51.5,45.2,Male
1247_412_374,Female,36,36,36,49.8,Female
1247_413_375,Female,32,39,35.5,54,Female
1247_414_376,Female,35,33,34,52.8,Female
1247_415_377,Female,40,41,40.5,44.5,Female
1247_416_378,Female,47,48,47.5,49.3,Female
1247_417_379,Female,41,42,41.5,45.6,Female
1247_418_380,Female,69,67,68,46.4,Female
1247_419_381,Male,45,49,47,45.1,Male
1247_422_382,Female,33,34,33.5,41.3,Female
1247_423_383,Female,27,26,26.5,35.7,Female
1248_402_384,Male,60,61,60.5,53.7,Male
1248_403_385,Male,34,33,33.5,37.4,Male
1248_404_386,Female,41,52,46.5,46.9,Female
1248_405_387,Male,72,61,66.5,49.5,Male
1248_406_388,Female,45,54,49.5,45.1,Female
1248_407_389,Female,34,38,36,41,Female
1248_408_390,Female,51,45,48,48,Female
1248_409_391,Male,38,54,46,47.6,Male
1248_412_392,Male,37,41,39,47.1,Male
1248_415_393,Male,48,47,47.5,40.2,Male
1248_416_394,Male,39,38,38.5,39.1,Male
1248_417_395,Female,51,44,47.5,47.7,Female
1248_419_396,Female,46,54,50,49.6,Female
1248_422_397,Female,55,59,57,47.9,Female
1248_426_398,Male,30,38,34,50,Male
1248_427_399,Male,41,31,36,38.2,Male
1248_428_400,Male,30,29,29.5,33.7,Male
1248_430_401,Female,42,51,46.5,43.9,Female
1248_431_402,Male,28,31,29.5,36.3,Male
1249_401_403,Male,62,64,63,55.2,Male
1249_402_404,Male,50,42,46,48.4,Male
1249_405_405,Male,51,44,47.5,54.3,Male
1249_406_406,Female,71,67,69,62.2,Female
1249_413_407,Male,61,62,61.5,47.8,Male
1249_414_408,Female,37,40,38.5,37.6,Female
1249_415_409,Female,34,32,33,34.8,Female
1249_419_410,Male,62,59,60.5,50.2,Male
1249_421_411,Male,45,49,47,49.5,Male
1249_422_412,Male,54,57,55.5,40.8,Male
1249_424_413,Female,82,78,80,58,Female
1249_428_414,Male,68,62,65,55,Male
1249_430_415,Female,78,97,87.5,65.7,Female
1249_442_417,Female,59,61,60,54.1,Female
1249_443_418,Male,56,51,53.5,61,Male
1249_447_419,Male,46,40,43,54,Male
1249_449_420,Female,49,52,50.5,43.2,Female
1249_461_421,Male,42,42,42,52.2,Male
1249_463_422,Male,76,68,72,59.5,Male
1249_466_423,Female,82,70,76,64.5,Female
1249_468_424,Female,64,69,66.5,59,Female
1249_475_425,Male,31,35,33,35.3,Male
1250_401_426,Male,39,34,36.5,43.5,Male
1250_403_427,Female,48,46,47,39.7,Female
1250_405_428,Female,54,41,47.5,43.2,Female
1250_414_431,Male,37,34,35.5,36.8,Male
1250_416_432,Female,60,59,59.5,46.9,Female
1250_417_433,Female,43,36,39.5,36.8,Female
1250_419_435,Male,25,25,25,35.4,Male
1250_424_436,Male,77,63,70,56.9,Male
1250_426_437,Female,23,21,22,20.7,Female
1250_427_438,Female,44,38,41,38,Female
1250_432_439,Female,36,45,40.5,41.6,Female
1250_433_440,Female,39,36,37.5,37.8,Female
1250_434_441,Female,32,33,32.5,44,Female
1250_435_442,Male,40,41,40.5,38,Male
1250_437_443,Female,47,56,51.5,48.7,Female
1250_438_444,Male,33,33,33,35.9,Male
1250_439_445,Female,30,28,29,30.9,Female
1250_440_446,Female,30,42,36,43.2,Female
1250_446_447,Male,46,51,48.5,52.9,Male
1250_447_448,Female,30,37,33.5,42.4,Female
1250_449_449,Female,40,47,43.5,41.6,Female
1250_450_450,Male,67,60,63.5,58,Male
1250_451_451,Female,44,55,49.5,57.3,Female
1250_452_452,Female,52,60,56,53.5,Female
1250_453_453,Male,89,83,86,61.5,Male
1250_454_454,Female,73,79,76,65.3,Female
1251_401_455,Male,25,26,25.5,34.9,Male
1251_406_456,Female,21,18,19.5,30.2,Female
1251_407_457,Male,27,31,29,37.2,Male
1251_408_458,Male,29,32,30.5,30.8,Male
1251_409_459,Female,35,32,33.5,32.5,Female
1251_410_460,Female,11,11,11,23.6,Female
1251_412_461,Female,32,31,31.5,33.1,Female
1251_415_462,Male,18,16,17,25.4,Male
1251_416_463,Female,20,21,20.5,30.1,Female
1251_420_465,Female,30,34,32,33,Female
1251_421_466,Male,22,21,21.5,28.4,Male
1251_423_468,Male,22,26,24,30.4,Male
1251_425_469,Male,20,23,21.5,28.2,Male
1251_427_470,Male,23,22,22.5,27.6,Male
1251_429_471,Female,21,19,20,24,Female
1251_432_472,Female,27,22,24.5,29.2,Female
1251_435_473,Male,28,25,26.5,27.8,Male
1251_438_474,Female,22,18,20,25.7,Female
1251_440_475,Female,76,101,88.5,64.5,Female
1252_401_476,Male,24,21,22.5,29.2,Male
1252_402_477,Male,22,21,21.5,27,Male
1252_403_478,Male,27,27,27,32,Male
1252_404_479,Female,20,22,21,22.6,Female
1252_405_480,Male,18,17,17.5,26.4,Male
1252_406_481,Male,17,18,17.5,25,Male
1252_407_482,Female,26,26,26,40.2,Female
1252_408_483,Female,14,13,13.5,25,Female
1252_409_484,Female,18,18,18,24.7,Female
1252_410_485,Male,20,18,19,24,Male
1252_411_486,Male,19,21,20,26.8,Male
1252_412_487,Male,21,19,20,26.4,Male
1252_413_488,Male,17,19,18,25.4,Male
1252_414_489,Male,20,20,20,25.7,Male
1252_415_490,Female,21,19,20,26.8,Female
1252_416_491,Female,23,22,22.5,28.1,Female
1252_417_492,Female,20,21,20.5,27.7,Female
1252_421_493,Male,21,16,18.5,23.4,Male
1252_422_494,Male,28,29,28.5,34.9,Male
1252_423_495,Male,19,21,20,28.9,Male
1252_424_496,Female,12,12,12,18.2,Female
1252_425_497,Male,23,23,23,27.8,Male
1252_426_498,Female,77,70,73.5,62.8,Female
1252_427_499,Female,76,75,75.5,59.6,Female
1252_428_500,Female,22,27,24.5,28.7,Female
1252_429_501,Male,43,41,42,45.2,Male
1252_430_502,Female,48,54,51,51.5,Female
1252_431_503,Male,31,33,32,32.9,Male
1252_434_506,Male,27,26,26.5,31.1,Male
1252_435_507,Male,29,30,29.5,34.3,Male
1252_436_508,Female,16,17,16.5,27.4,Female
1252_437_509,Male,16,15,15.5,26.3,Male
1252_438_510,Female,17,18,17.5,26.4,Female
1252_441_511,Female,18,19,18.5,26.5,Female
1252_443_512,Male,17,13,15,23.8,Male
1252_444_513,Female,10,11,10.5,20.3,Female
1252_445_514,Male,14,18,16,22.6,Male
1252_446_515,Female,20,19,19.5,26.7,Female
1252_447_516,Male,34,29,31.5,34.2,Male
1252_448_517,Male,27,29,28,33.4,Male
1252_449_518,Female,29,25,27,29.2,Female
1252_450_519,Male,28,36,32,38.3,Male
1253_401_520,Female,39,42,40.5,43.5,Female
1253_402_521,Female,25,28,26.5,34.9,Female
1253_403_522,Female,22,19,20.5,33.7,Female
1253_404_523,Male,27,29,28,35.8,Male
1253_405_524,Female,21,23,22,36.6,Female
1253_406_525,Male,19,16,17.5,28.6,Male
1253_407_526,Male,17,21,19,28.2,Male
1253_409_528,Male,21,20,20.5,23.2,Male
1253_410_529,Female,20,19,19.5,26.4,Female
1253_416_531,Male,21,17,19,23.1,Male
1253_420_532,Female,12,13,12.5,22.4,Female
1253_421_533,Female,22,18,20,22.7,Female
1253_423_535,Male,10,11,10.5,20.6,Male
1253_424_536,Male,8,8,8,14,Male
1253_427_538,Male,12,11,11.5,18.4,Male
1253_431_539,Female,7,8,7.5,15.7,Female
1253_433_540,Female,22,27,24.5,33.3,Female
1253_434_541,Female,19,17,18,24.7,Female
1253_437_542,Male,14,12,13,19,Male
1253_439_543,Female,10,12,11,23,Female
1253_441_544,Female,22,21,21.5,30.4,Female
1253_453_545,Female,13,13,13,22,Female
1253_454_546,Female,15,16,15.5,21.5,Female
1253_461_547,Female,11,9,10,18.8,Female
1253_465_548,Male,32,27,29.5,29.3,Male
1253_468_549,Male,20,16,18,20.8,Male
1253_471_552,Male,9,11,10,19.6,Male
1253_474_553,Female,24,23,23.5,37.2,Female
1253_477_554,Male,10,13,11.5,20.4,Male
1253_479_555,Male,10,11,10.5,19,Male
1253_486_556,Female,13,12,12.5,19.9,Female
1253_487_557,Male,9,10,9.5,17.5,Male
1253_488_558,Female,9,11,10,17.4,Female
1253_489_559,Female,9,10,9.5,16.5,Female
1253_495_560,Female,11,12,11.5,20,Female
1254_403_561,Male,11,10,10.5,19.5,Male
1254_404_562,Male,12,13,12.5,19.3,Male
1254_405_563,Male,11,11,11,19,Male
1254_406_564,Male,15,14,14.5,17.7,Male
1254_410_565,Male,12,16,14,20.6,Male
1254_411_566,Male,6,7,6.5,15.8,Male
1254_412_567,Male,9,10,9.5,17,Male
1254_413_568,Female,13,10,11.5,16.4,Female
1254_415_570,Male,14,11,12.5,16.6,Male
1254_416_571,Female,16,15,15.5,22.3,Female
1254_421_573,Female,11,12,11.5,20.2,Female
1254_423_574,Male,8,8,8,15.5,Male
1254_425_575,Male,7,8,7.5,14.9,Male
1254_427_576,Female,12,10,11,16.3,Female
1254_431_577,Female,10,12,11,16.2,Female
1254_436_578,Female,8,9,8.5,19.3,Female
1254_437_579,Female,24,21,22.5,27.2,Female
1254_444_580,Female,29,23,26,27.8,Female
1254_445_581,Male,16,15,15.5,17.2,Male
1254_463_582,Female,11,11,11,20,Female
1254_464_583,Male,11,13,12,19.5,Male
1254_469_584,Male,10,13,11.5,15.5,Male
1254_473_585,Female,22,21,21.5,28.7,Female
1254_482_586,Male,13,13,13,16.5,Male
1254_490_587,Male,24,20,22,29,Male
1255_434_590,Female,10,12,11,18.9,Female
1255_436_591,Female,25,27,26,35.5,Female
1255_437_592,Female,12,12,12,17.7,Female
1255_441_593,Female,21,24,22.5,27.5,Female
1255_457_595,Female,12,13,12.5,18.3,Female
1255_461_596,Female,12,16,14,18.3,Female
1255_465_597,Female,19,19,19,29.6,Female
1256_403_598,Female,21,19,20,29.7,Female
1256_406_599,Female,21,18,19.5,28.3,Female
1256_407_600,Female,46,44,45,42.2,Female
1256_414_601,Male,24,26,25,31.1,Male
1256_426_604,Female,20,21,20.5,28.7,Female
1256_427_605,Female,23,26,24.5,32.7,Female
1256_430_606,Male,52,56,54,51.1,Male
1256_431_607,Male,46,61,53.5,55.1,Male
1256_442_608,Male,53,64,58.5,51.4,Male
1256_446_609,Female,10,11,10.5,18.1,Female
1256_456_610,Male,30,32,31,33.7,Male
1256_459_611,Male,36,31,33.5,32.4,Male
1257_401_612,Female,34,43,38.5,35,Female
1257_406_613,Female,33,27,30,39.7,Female
1257_425_614,Male,34,45,39.5,42.6,Male
1257_433_616,Female,29,25,27,30.1,Female
1257_448_617,Female,32,28,30,44.8,Female
1257_469_619,Female,24,19,21.5,37,Female
1257_479_620,Male,30,25,27.5,31.9,Male
1257_480_621,Female,22,17,19.5,29.8,Female
1257_493_622,Male,30,25,27.5,39.7,Male
1258_401_623,Male,41,41,41,55.7,Male
1258_405_624,Female,19,24,21.5,31,Female
1258_406_625,Female,22,24,23,34.6,Female
1258_409_626,Male,32,45,38.5,38,Male
1258_410_627,Male,28,25,26.5,33,Male
1258_415_628,Male,83,78,80.5,64.2,Male
1258_416_629,Female,24,29,26.5,35.4,Female
1258_418_630,Male,29,29,29,33.3,Male
1258_420_631,Female,27,36,31.5,40.3,Female
1258_425_633,Female,38,31,34.5,33.2,Female
1258_426_634,Male,30,29,29.5,30.3,Male
1258_427_635,Male,27,33,30,28.3,Male
1258_430_637,Female,26,23,24.5,26.4,Female
1258_432_638,Female,43,46,44.5,47.8,Female
1258_433_639,Male,35,33,34,38.2,Male
1258_436_640,Female,25,22,23.5,32.8,Female
1258_438_641,Female,55,61,58,62.1,Female
1258_439_642,Male,42,35,38.5,37.4,Male
1258_442_643,Female,28,35,31.5,33.8,Female
1258_445_644,Female,36,49,42.5,39,Female
1258_450_645,Female,30,27,28.5,29.3,Female
1258_453_646,Male,27,31,29,31,Male
1258_456_647,Male,31,27,29,29.8,Male
1258_458_648,Male,28,29,28.5,30.9,Male
1258_469_649,Female,40,31,35.5,34,Female
1258_479_650,Female,28,23,25.5,31,Female
1259_415_653,Female,31,35,33,42.4,Female
