Model,Label,Value,Phase,Min,Max,Init,Gradient,Pr_type,Prior,Pr_SD,Pr_Like,LCI95,UCI95
23.model.francis_2,Early_RecrDev_1937,-0.0117557,6,-5,5,0,-4.81014e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1938,-0.00186568,6,-5,5,0,-9.87893e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1939,0.00804526,6,-5,5,0,-8.77433e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1940,0.0174898,6,-5,5,0,7.13976e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1941,0.025859300000000002,6,-5,5,0,-1.61551e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1942,0.0324374,6,-5,5,0,-1.64361e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1943,0.0364342,6,-5,5,0,-2.87432e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1944,0.0370463,6,-5,5,0,-1.16554e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1945,0.0335406,6,-5,5,0,-3.85256e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1946,0.0253472,6,-5,5,0,-1.73211e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1947,0.0121466,6,-5,5,0,8.83437e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1948,-0.00607497,6,-5,5,0,-1.35093e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1949,-0.0290135,6,-5,5,0,-3.31832e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1950,-0.0560826,6,-5,5,0,-1.58575e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1951,-0.0862469,6,-5,5,0,-1.59543e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1952,-0.11864,6,-5,5,0,3.47219e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1953,-0.152261,6,-5,5,0,-3.20117e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1954,-0.186096,6,-5,5,0,-1.04067e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1955,-0.219143,6,-5,5,0,1.16059e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1956,-0.250449,6,-5,5,0,-1.05719e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1957,-0.279067,6,-5,5,0,-1.32731e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1958,-0.304098,6,-5,5,0,-8.4989e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1959,-0.324635,6,-5,5,0,-6.62449e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1960,-0.339767,6,-5,5,0,-1.15534e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1961,-0.348604,6,-5,5,0,1.34398e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1962,-0.350405,6,-5,5,0,-2.18792e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1963,-0.34469,6,-5,5,0,-1.96622e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1964,-0.331626,6,-5,5,0,-1.01544e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1965,-0.312448,6,-5,5,0,1.20833e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1966,-0.289565,6,-5,5,0,-8.27533e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1967,-0.266313,6,-5,5,0,2.34605e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1968,-0.245933,6,-5,5,0,-1.71161e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1969,-0.229418,6,-5,5,0,-1.23439e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1970,-0.214857,6,-5,5,0,-2.46564e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1971,-0.197972,6,-5,5,0,-9.18959e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1972,-0.175998,6,-5,5,0,-1.403e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1973,-0.15103,6,-5,5,0,1.09641e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1974,-0.131276,6,-5,5,0,1.75718e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1975,-0.127136,6,-5,5,0,-2.02877e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1976,-0.142317,6,-5,5,0,-3.53903e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1977,-0.169186,6,-5,5,0,-1.58734e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1978,-0.192983,6,-5,5,0,-1.20721e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1979,-0.201889,6,-5,5,0,-2.68744e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1980,-0.195318,6,-5,5,0,-6.59232e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1981,-0.182434,6,-5,5,0,-7.91947e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1982,-0.172583,6,-5,5,0,-1.73575e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1983,-0.169591,6,-5,5,0,-1.53502e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1984,-0.168539,6,-5,5,0,-1.60846e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1985,-0.143132,6,-5,5,0,1.91573e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1986,-0.132695,6,-5,5,0,1.37054e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1987,-0.120316,6,-5,5,0,-2.41893e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1988,-0.0869022,6,-5,5,0,-5.92632e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1989,-0.0647605,6,-5,5,0,1.9958e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1990,-0.062456,6,-5,5,0,4.29194e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1991,-0.0993539,6,-5,5,0,9.16113e-7,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1992,-0.131389,6,-5,5,0,3.46585e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1993,-0.11056,6,-5,5,0,3.18055e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1994,-0.124331,6,-5,5,0,4.47917e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Early_RecrDev_1995,-0.0283407,6,-5,5,0,5.2429e-6,dev,NA,NA,NA,NA,NA
23.model.francis_2,Main_RecrDev_1996,-0.329937,6,-5,5,0,5.34031e-6,dev,NA,NA,NA,NA,NA
