year,season,fleet,catch,catch_se
1950,1,3,0.82,0.01
1951,1,3,0.593,0.01
1952,1,3,0.278,0.01
1953,1,3,0.245,0.01
1954,1,3,0.381,0.01
1955,1,3,0.281979024,0.01
1956,1,3,0.483093848,0.01
1957,1,3,0.494,0.01
1958,1,3,0.136,0.01
1959,1,3,0.238,0.01
1960,1,3,0.104,0.01
1961,1,3,0.377,0.01
1962,1,3,0.445,0.01
1963,1,3,0.269,0.01
1964,1,3,0.778628736,0.01
1965,1,3,0.13,0.01
1966,1,3,0.126,0.01
1967,1,3,0.343,0.01
1968,1,3,0.255,0.01
1969,1,3,0.925,0.01
1970,1,3,0.16,0.01
1971,1,3,0.042,0.01
1972,1,3,0.064,0.01
1973,1,3,0.31,0.01
1974,1,3,1.016,0.01
1975,1,3,0.26,0.01
1976,1,3,0.114,0.01
1977,1,3,8.39,0.01
1978,1,3,0.874,0.01
1979,1,3,2.907,0.01
1980,1,3,0.711,0.01
1981,1,3,2.227,0.01
1982,1,3,2.202,0.01
1983,1,3,2.284,0.01
1984,1,3,0.663,0.01
1985,1,3,1.83,0.01
1986,1,3,3.175,0.01
1987,1,3,4.161928130810887,0.01
1988,1,3,22.757703810550574,0.01
1989,1,3,25.07487199782065,0.01
1990,1,3,26.98458205967242,0.01
1991,1,3,51.77653425328639,0.01
1992,1,3,51.90154607957347,0.01
1993,1,3,24.382484880791075,0.01
1994,1,3,18.117335020358265,0.01
1995,1,3,25.65689133680394,0.01
1996,1,3,20.733534884986348,0.01
1997,1,3,22.869106731745315,0.01
1998,1,3,15.94684263921777,0.01
1999,1,3,17.121896354306664,0.01
2000,1,3,13.801353267435857,0.01
2001,1,3,12.654583032446613,0.01
2002,1,3,10.382135152001661,0.01
2003,1,3,10.781600344824549,0.01
2004,1,3,10.498181679728932,0.01
2005,1,3,10.73597784277474,0.01
2006,1,3,15.468488661338329,0.01
2007,1,3,16.353672357766158,0.01
2008,1,3,19.8560842254263,0.01
2009,1,3,28.66528403487033,0.01
2010,1,3,23.15333814365018,0.01
2011,1,3,24.269853586098108,0.01
2012,1,3,36.64588693279396,0.01
2013,1,3,19.310298104443834,0.01
2014,1,3,20.29248035203413,0.01
2015,1,3,19.278132417964578,0.01
2016,1,3,26.705774569254853,0.01
2017,1,3,39.047278491590546,0.01
2018,1,3,33.28246895153421,0.01
2019,1,3,29.29916504258675,0.01
2020,1,3,10.310576238213507,0.01
2021,1,3,13.87024935088437,0.01
2022,1,3,11.01064734607504,0.01
2023,1,3,0.00136077711114113,0.01
1969,1,4,0.023133192,0.01
1970,1,4,0.101151016,0.01
1971,1,4,0.037648136,0.01
1972,1,4,0.048987936,0.01
1973,1,4,0.127912944,0.01
1974,1,4,0.306628192,0.01
1975,1,4,0.27442316,0.01
1976,1,4,0.395985816,0.01
1977,1,4,0.817826376,0.01
1978,1,4,2.085162424,0.01
1979,1,4,3.652322784,0.01
1980,1,4,1.543573576,0.01
1981,1,4,0.5113127524746163,0.01
1982,1,4,0.5093620059110162,0.01
1983,1,4,0.4733474112680564,0.01
1984,1,4,0.5160668268930307,0.01
1985,1,4,4.171449442898304,0.01
1986,1,4,4.80740622175055,0.01
1987,1,4,18.027125794436426,0.01
1988,1,4,2.162101874832438,0.01
1989,1,4,10.664876104736692,0.01
1990,1,4,4.3741480798196655,0.01
1991,1,4,1.766044430769743,0.01
1992,1,4,9.349992471727434,0.01
1993,1,4,2.2032854765864642,0.01
1994,1,4,2.886392810394008,0.01
1995,1,4,31.355285958192695,0.01
1996,1,4,79.35537842753331,0.01
1997,1,4,39.86888415396918,0.01
1998,1,4,46.23421672050158,0.01
1999,1,4,47.26792651705624,0.01
2000,1,4,52.78379207322113,0.01
