year,state_gear,prop_sspn,interp_prop_sspn
2005,WA_Trawl,0.9845688571318516,0.9845688571318516
2005,CA_Non-trawl,0.9001710108355441,0.9001710108355441
2005,CA_Trawl,0.304509654871665,0.304509654871665
2005,OR_Trawl,0.6566292864980282,0.6566292864980282
2005,OR_Non-trawl,0.9952718676122931,0.9952718676122931
2005,WA_Non-trawl,0.997240492781049,0.997240492781049
2006,WA_Trawl,0.9679675256779172,0.9679675256779172
2006,CA_Non-trawl,0.8914863480057658,0.8914863480057658
2006,CA_Trawl,0.29001009745773726,0.29001009745773726
2006,OR_Trawl,0.581004767265385,0.581004767265385
2006,OR_Non-trawl,1,1
2006,WA_Non-trawl,1,1
2007,WA_Trawl,0.879191095512682,0.879191095512682
2007,CA_Non-trawl,0.8796152829262891,0.8796152829262891
2007,CA_Trawl,0.3277612178772713,0.3277612178772713
2007,OR_Trawl,0.6338135996535891,0.6338135996535891
2007,OR_Non-trawl,0.9674620390455531,0.9674620390455531
2007,WA_Non-trawl,1,1
2008,WA_Trawl,0.9474945920574028,0.9474945920574028
2008,CA_Non-trawl,0.937738791203025,0.937738791203025
2008,CA_Trawl,0.28033368233591105,0.28033368233591105
2008,OR_Trawl,0.6145207994764571,0.6145207994764571
2008,OR_Non-trawl,0.9738134206219312,0.9738134206219312
2008,WA_Non-trawl,0.9999755912444553,0.9999755912444553
2009,WA_Trawl,0.698088422570934,0.698088422570934
2009,CA_Non-trawl,0.8855181768874899,0.8855181768874899
2009,CA_Trawl,0.3711931215961016,0.3711931215961016
2009,OR_Trawl,0.6144455079363715,0.6144455079363715
2009,OR_Non-trawl,0.9757325094514794,0.9757325094514794
2009,WA_Non-trawl,1,1
2010,WA_Trawl,0.6917205969121867,0.6917205969121867
2010,CA_Non-trawl,0.8882711185508487,0.8882711185508487
2010,CA_Trawl,0.36102548185588396,0.36102548185588396
2010,OR_Trawl,0.49207124308738137,0.49207124308738137
2010,OR_Non-trawl,0.9581528849705948,0.9581528849705948
2010,WA_Non-trawl,0.9231589974392799,0.9231589974392799
2011,WA_Trawl,0.42739819945528046,0.42739819945528046
2011,CA_Non-trawl,0.904300636808985,0.904300636808985
2011,CA_Trawl,0.3530005529373654,0.3530005529373654
2011,OR_Trawl,0.5245226154034096,0.5245226154034096
2011,OR_Non-trawl,0.9960508262609391,0.9960508262609391
