Year,Com. north trawl (WA/OR),Com. south trawl (CA),Com. non-trawl (coastwide),Total ,OFL,ACL,% of ACL,Trawl Allocation,IFQ Allocation,IFQ Projection,Non-Trawl Allocation,,,,,,,,,,,,,,,,,,,
Nearshore,0.3,0.7,1.2,0.2,0.6,0.6,,,,,,Allocation Trawl MT,475.72,534.47,,,,,,,,GEMM 3yr avg mort. Mort less than 0.2 was not distributed ,,,,,,,,
OA Fixed Gear - Hook & Line,2.9,1.4,1.1,3.2,2.8,2.3,,,,,,At-sea Whiting Set-asides,70,70,,,,,,,,CS - Bottom Trawl,70.53524008,,,,,,,
OA Fixed Gear - Pot,0,0.3,0.2,0.1,0,0.1,,,,,,SB IFQ Total,743.32,682.77,,,,,,,,At-Sea Hake MSCV,62.97491449,,,,,,,
Grand Total,142.6,86.6,78,62.5,70.2,88.0,,88.0,,,,Allocation Non Trawl Percent,36,29,,,,,,,,At-Sea Hake CP,45.94365268,,,,,,,
,,,,,,,,,,,,Allocation Non Trawl MT,267.6,218.3,,,,,,,,LE Sablefish - Hook & Line,4.454599708,,,,,,,
Looking at the SSPN/LSTH,,,,,,,,,,,,,,,,,,,,,,LE Fixed Gear DTL - Hook & Line,2.10999044,,,,,,,
species,Shortspine/Longspine Thornyhead,,,,,,,"Figure below lookings at Landings only (no discards) -- just for reference in SSPN and SABL trends. Includes LE Fixed Gear DTL, Limited Entry Sablefish, OA Fixed Gear, and Nearshore FOS codes",,,,,,,,,,,,,,CS EM - Bottom Trawl,0.863841197,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Directed P Halibut,0.790638555,,,,,,,
Sum of total_discard_with_mort_rates_applied_and_landings_mt,Column Labels,,,,,,,,,,,,,,,,,,,,,OA Fixed Gear - Hook & Line,0.610099476,,,,,,,
Row Labels,2019,2020,2021,2023,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed thornyheads,4.5,0.3,0,0,4.8,,,,,,,,,,,,,,,,,2024 Landings ,,,,Percent ,,GEMM 3yr discards,Percent * GEMM + landings ,
CS - Hook & Line,0.1,,,,0.1,,,,,,,,,,,,,,,,,,CA,OR/WA,Total ,CA,OR/WA,CW,CA,OR/WA
CS - Pot,,0,0,,0,,,,,,,,,,,,,,,,,Catch Shares,17.7035,205.7847,223.4882,0.07921447307,0.9207855269,70.53524008,23.29091188,270.7325282
CS EM - Pot,0,,,0,0,,,,,,,,,,,,,,,,,Catch Shares EM,9.7749,9.8961,19.671,0.4969193229,0.5030806771,0.863841197,10.20415938,10.33068181
Directed P Halibut,0,,,0,0,,,,,,,,,,,,,,,,,Midwater Hake,,1.1006,1.1006,0,1,0,0,1.1006
Incidental,0,,,,0,,,,,,,,,,,,,,,,,Midwater Hake EM,,84.3704,84.3704,0,1,0,0,84.3704
LE Fixed Gear DTL - Hook & Line,3.8,0.1,,,3.9,,,,,,,,,,,,,,,,,Midwater Rockfish,,0.0233,0.0233,0,1,0,0,0.0233
LE Fixed Gear DTL - Pot,0.1,,,,0.1,,,,,,,,,,,,,,,,,Midwater Rockfish EM,,0.0017,0.0017,0,1,0,0,0.0017
LE Sablefish - Hook & Line,0.4,0,0,,0.5,,,,,,,,,,,,,,,,,CATCHER PROCESSOR,,145.9918,145.9918,0,1,Discards included in norpac,0,145.9918
LE Sablefish - Pot,,,,0,0,,,,,,,,,,,,,,,,,MOTHERSHIP,,8.9635,8.9635,0,1,Discards included in norpac,0,8.9635
,,,,,,,,,,,,,,,,,,,,,,Tribal,,4.157,4.157,0,1,,0,4.157
OA Fixed Gear - Hook & Line,,0.1,0,,0.1,,,,,,,,,,,,,,,,,,,,,,,,33.49507126,525.67151
OA Fixed Gear - Pot,0,0,,,0,,,,,,,,,,,,,,,,,2025,,,,,,,,
Grand Total,4.5,0.3,0,0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Below is the inseason version through the current year (data pulled 5/27/2025),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2025,2026,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Projected ,Projected ,North % - 3 year avg PacFIN Landings ,South %,,,,
,,,,,,,,,,,,,,,,,,,,,,IFQ Projections CW,197,207,0.8351471,0.1648529,,,,
,,,,,,,,,,,,,,,,,,,,,,gear switchers three year average ,-0.3,-0.3,1,0,,,,
,,,,,,,,,,,,,,,,,,,,,,At sea three year average ,140,140,1,0,,,,
,,,,,,,,,,,,,,,,,,,,,,Tribal ,50,50,1,0,,,,
,,,,,,,,,,,,,,,,,,,,,,Research ,16.3,16.3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,North ,,,South ,,,,
,,,,,,,,,,,,,,,,,,,,,,,2025,2026,,2025,2026,,,
,,,,,,,,,,,,,,,,,,,,,,IFQ Projections CW,164.5,172.9,,32.4760213,34.1245503,,,
,,,,,,,,,,,,,,,,,,,,,,gear switchers three year average ,-0.3,-0.3,,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,At sea three year average ,140,140,,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,Tribal ,50,50,,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,Research ,16.3,16.3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Total ,371.1,379.5,,32.4760213,34.1245503,,,
